A,B,C,D,E,F
36,208.14,18,30.08,59.3398,23.9748
1,-1.64,6,6.02,-61.4853,-44.6716
32,184.05,29,52.34,-75.4307,-45.3233
17,94.42,23,40.33,15.9621,30.0202
7,34.3,4,2.34,30.7169,28.6439
7,34.15,28,50.55,-63.0922,-47.5434
25,142.19,11,17.28,-39.2449,-34.115
14,76.49,24,42.52,-57.777,-53.8778
34,196.55,13,20.14,28.2853,37.5358
24,136.11,13,20.18,15.4269,18.3851
39,226.2,5,4.24,78.924,18.221
11,58.03,1,-3.6,-63.8144,-31.1243
11,58.2,33,60.24,-20.6142,-4.00699
7,34.22,5,3.97,42.2839,45.3439
0,-7.45,18,30.43,47.1195,35.5071
1,-1.72,18,30.36,-34.8196,-23.4861
17,93.99,38,70.35,-52.2294,-35.2291
11,58.05,15,24.13,-62.5732,-37.5978
3,10.11,31,56.17,-51.3571,-16.6869
24,136.44,11,16.19,-46.103,-73.7802
17,95.03,34,62.04,-9.84089,-11.3206
18,100.4,26,46.45,52.4842,7.37617
28,160.42,23,40.4,12.432,3.80083
9,46.13,36,66.37,6.30409,4.92529
25,142.09,2,-1.87,-8.00361,-10.2441
31,178.53,13,20.42,-16.495,-4.11267
22,123.98,34,62.17,40.7524,10.1607
24,136.47,16,26.16,-40.1488,-86.0992
2,4.43,38,70.07,-38.171,-48.8566
33,190.4,39,72.04,65.3559,27.7419
34,196,14,22.45,-47.0229,-64.7213
19,106.39,23,40.22,-16.7417,-2.95202
24,136.16,15,24.38,29.7764,3.65608
11,58.09,18,30.26,12.8575,7.72557
28,159.97,39,72.25,-83.3803,-38.8808
18,99.99,5,4.1,-5.86024,-17.0193
2,4.5,20,34.34,-60.2218,-66.883
22,124.52,34,62.06,44.0001,76.2102
1,-1.52,9,12.48,-52.8459,-42.7938
27,153.98,25,44.43,13.4986,16.0869
29,166.36,19,32.43,68.0773,23.4409
12,64.44,27,48.5,-36.0427,-25.2373
8,40.16,25,44.4,-75.1754,-27.3616
8,40.51,36,66.46,-29.3535,-19.0624
14,76.1,1,-3.72,90.3217,11.0901
8,40.29,22,38.04,11.9571,14.7658
1,-1.52,25,44.38,-22.9513,-7.01691
11,58.34,33,60.05,-76.6045,-64.2787
33,189.97,19,31.98,15.606,14.0517
1,-1.56,2,-2,-61.3966,-8.62873
5,22.55,6,6.16,5.19615,3
38,220.56,8,10.2,-14.8629,-13.3826
17,94,34,62.39,50.063,9.73125
0,-7.87,18,30.36,-27.6174,-56.624
8,40.16,27,48.47,13.5446,17.3362
36,208.36,16,26.19,-6.13799,-6.58218
39,226.46,13,20.36,-12.9013,-33.6089
28,159.99,17,28.19,-13.4206,-19.8969
0,-7.87,17,28.55,23.7454,14.8377
30,172.53,38,70.34,-0.906308,-0.422618
26,148.52,31,56.19,-27.7766,-42.7722
36,208.37,3,0.07,83.0284,53.9192
16,88.17,22,38.02,-24.5119,-52.5658
18,100.12,7,8.33,23.1796,9.36516
35,202.52,15,24.5,-4.12031,-6.85734
25,142.48,1,-3.75,89.8311,24.0702
3,10.19,2,-1.97,30.103,78.4207
26,147.97,14,22.25,-69.0379,-29.3048
11,58.33,3,0.55,76.2715,51.4457
17,94.36,4,2.49,-13.2306,-46.1405
19,106.46,0,-5.63,95.5264,16.8439
23,130.37,7,8.02,-21.5571,-48.4179
19,106.22,23,40.5,34.9794,78.5649
2,4.14,37,68.14,25.9541,7.4422
6,28.01,0,-6,57.1693,95.1455
4,16.04,33,60.13,-75.362,-52.769
13,70.4,31,56.5,16.383,11.4715
36,207.97,15,24.37,-14.9178,-1.56793
13,70.36,38,70.47,-60.2114,-37.6242
31,178.24,21,36.2,-31.1278,-21.7959
27,154.03,17,28.09,-4.45887,-4.01478
2,4.05,0,-5.98,52.005,77.1005
7,34.06,13,20.2,-18.9277,-1.65596
16,88.31,2,-1.56,17.8964,40.196
4,16.04,18,30.43,36.6064,82.2191
8,40.46,19,32.22,0.65606,0.754709
35,202.21,14,22.12,51.7309,32.3251
28,160.46,28,50.5,-32.1191,-68.8794
36,208.49,4,2.15,-16.9894,-12.3435
21,118.13,28,50.16,-4.31604,-4.16795
32,184.19,20,34.29,-16.7714,-12.6381
38,220.31,18,30.01,-50.3538,-48.6261
3,10.47,20,34.28,34.4034,89.6237
13,70.49,37,68.55,-58.707,-38.1247
39,226,24,42.36,28.1475,55.2424
30,172.04,20,34.08,8.02976,17.2198
13,70.46,14,22.48,79.7166,47.8985
2,4.33,39,72,-40.5001,-70.148
27,154.42,27,48.53,-57.0152,-78.4746
5,22.51,12,18.06,12.1203,21.8655
28,160.53,33,60.37,9.67596,25.2067
20,111.97,13,20.24,-61.0441,-75.3831
23,130.42,34,62.51,-61.7161,-37.0827
9,46.53,31,56.05,-27.1696,-23.6181
37,214.06,12,18.18,-25.0305,-77.0356
8,40.04,13,20.1,-9.19239,-9.19238
18,99.97,32,58.08,-40.6004,-34.0677
30,172.39,33,60.53,-29.7991,-8.54475
14,76.35,29,52.34,-26.1609,-68.1513
23,130.53,3,0.04,-5.15039,-8.57167
5,22.47,21,36.07,62.6549,6.58529
23,130.1,33,60.12,-52.5968,-16.0804
3,10.04,6,6.13,-41.7812,-49.7929
9,46.47,26,46.16,13.5,23.3827
13,70.2,13,20.45,-3.74608,-9.27184
23,130.12,33,60.53,21.4998,74.9784
9,45.98,2,-1.81,-89.2672,-22.2568
26,148.28,18,30.5,9.78574,16.2862
